Notes,States,States Code,Single-Year Ages,Single-Year Ages Code,Yearly July 1st Estimates,Yearly July 1st Estimates Code,Population
,Alaska,02,54 years,54,2022,2022,8043
Total,Alaska,02,54 years,54,,,24877
,Alaska,02,55 years,55,2020,2020,9044
,Alaska,02,55 years,55,2021,2021,8456
,Alaska,02,55 years,55,2022,2022,8061
Total,Alaska,02,55 years,55,,,25561
,Alaska,02,56 years,56,2020,2020,9326
,Alaska,02,56 years,56,2021,2021,8793
,Alaska,02,56 years,56,2022,2022,8247
Total,Alaska,02,56 years,56,,,26366
,Alaska,02,57 years,57,2020,2020,9515
,Alaska,02,57 years,57,2021,2021,9162
,Alaska,02,57 years,57,2022,2022,8628
Total,Alaska,02,57 years,57,,,27305
,Alaska,02,58 years,58,2020,2020,9599
,Alaska,02,58 years,58,2021,2021,9297
,Alaska,02,58 years,58,2022,2022,8925
Total,Alaska,02,58 years,58,,,27821
,Alaska,02,59 years,59,2020,2020,9614
,Alaska,02,59 years,59,2021,2021,9317
,Alaska,02,59 years,59,2022,2022,9004
Total,Alaska,02,59 years,59,,,27935
,Alaska,02,60 years,60,2020,2020,9518
,Alaska,02,60 years,60,2021,2021,9436
,Alaska,02,60 years,60,2022,2022,9133
Total,Alaska,02,60 years,60,,,28087
,Alaska,02,61 years,61,2020,2020,9142
,Alaska,02,61 years,61,2021,2021,9259
,Alaska,02,61 years,61,2022,2022,9146
Total,Alaska,02,61 years,61,,,27547
,Alaska,02,62 years,62,2020,2020,9004
,Alaska,02,62 years,62,2021,2021,8892
,Alaska,02,62 years,62,2022,2022,9007
Total,Alaska,02,62 years,62,,,26903
,Alaska,02,63 years,63,2020,2020,8815
,Alaska,02,63 years,63,2021,2021,8735
,Alaska,02,63 years,63,2022,2022,8620
Total,Alaska,02,63 years,63,,,26170
,Alaska,02,64 years,64,2020,2020,8404
,Alaska,02,64 years,64,2021,2021,8577
,Alaska,02,64 years,64,2022,2022,8470
Total,Alaska,02,64 years,64,,,25451
